,,,,계,,관광,,상용,,공용,,유학연수,,기타
년,월,대륙,국적,인원수,증감률(%),인원수,증감률(%),인원수,증감률(%),인원수,증감률(%),인원수,증감률(%),인원수,증감률(%)
"2010","03","유럽","포르투갈","367","8.58","263","5.62","12","300.00","0","0.00","2","-33.33","90","8.43"
"2010","03","유럽","오스트리아","833","11.51","663","16.11","11","37.50","1","0.00","5","66.67","153","-6.71"
"2010","03","유럽","핀란드","777","-12.89","591","-9.63","12","-45.45","0","-100.00","4","-33.33","170","-18.66"
"2010","03","유럽","벨기에","627","-18.47","495","-7.13","16","-44.83","1","0.00","2","100.00","113","-44.88"
"2010","03","유럽","크로아티아","543","0.18","167","13.61","14","-6.67","0","0.00","1","0.00","361","-4.75"
"2010","03","유럽","그리스","714","8.18","419","25.45","23","-8.00","1","0.00","0","0.00","271","-9.67"
"2010","03","유럽","불가리아","680","7.09","140","7.69","0","-100.00","0","0.00","2","-66.67","538","8.03"
"2010","03","유럽","덴마크","695","-13.56","576","-1.20","29","-21.62","1","0.00","0","0.00","89","-51.63"
"2010","03","유럽","아일랜드","570","4.59","442","5.24","13","-18.75","1","0.00","0","0.00","114","4.59"
"2010","03","유럽","유럽 기타","1,918","-8.49","1,170","-4.18","49","48.48","3","0.00","23","15.00","673","-18.13"
"2010","03","유럽 소계","","54,708","-1.56","35,026","1.52","2,183","12.01","83","-26.55","257","6.64","17,159","-8.59"
"2010","03","오세아니아","오스트레일리아","12,079","23.58","9,510","34.11","539","13.47","62","113.79","2","-66.67","1,966","-9.53"
"2010","03","오세아니아","뉴질랜드","2,095","4.33","1,621","7.21","71","86.84","2","0.00","1","-50.00","400","-11.89"
"2010","03","오세아니아","오세아니아 기타","636","30.60","502","88.72","0","-100.00","2","0.00","2","0.00","130","-40.91"
"2010","03","오세아니아 소계","","14,810","20.71","11,633","31.16","610","18.68","66","112.90","5","-37.50","2,496","-12.33"
"2010","03","아프리카","남아프리카공화국","688","-9.11","320","-0.62","24","-7.69","3","200.00","2","100.00","339","-16.71"
"2010","03","아프리카","아프리카 기타","2,317","31.95","736","43.75","826","13.62","90","291.30","132","71.43","533","27.82"
"2010","03","아프리카 소계","","3,005","19.58","1,056","26.62","850","12.88","93","287.50","134","71.79","872","5.83"
"2010","03","기타","국적미상","21","-22.22","20","-16.67","1","-50.00","0","0.00","0","-100.00","0","0.00"
"2010","03","기타 소계","","21","-22.22","20","-16.67","1","-50.00","0","0.00","0","-100.00","0","0.00"
"2010","03","교포","교포","27,781","54.77","0","0.00","0","0.00","0","0.00","0","0.00","27,781","54.77"
"2010","03","교포 소계","","27,781","54.77","0","0.00","0","0.00","0","0.00","0","0.00","27,781","54.77"
"2010","03 소계","","","769,894","6.32","545,442","4.21","26,559","5.54","2,369","10.65","17,586","57.78","177,938","9.67"
"2010","04","아시아","중국","147,680","36.90","84,252","61.27","13,306","9.51","212","-15.87","2,199","2.95","47,711","16.11"
"2010","04","아시아","일본","239,075","-13.13","233,697","-13.24","1,282","1.10","74","-25.25","154","-12.99","3,868","-10.50"
"2010","04","아시아","대만","33,518","-17.70","32,835","-17.94","38","-25.49","8","-42.86","26","-16.13","611","-1.13"
"2010","04","아시아","홍콩","20,217","-12.66","19,382","-12.95","67","15.52","3","0.00","12","1,100.00","753","-8.17"
